jokeID, $fr, $pcr, $reasoning
1, 9.00, 8.00, The joke plays on the unexpected twist of the man's response, creating humor. It's relatively politically correct, as it doesn't target any specific group and uses Alzheimer's as part of the punchline without making fun of the disease itself.
2, 7.50, 6.00, The humor relies on wordplay, and while it may be amusing to some, it touches on a sensitive topic (pedophilia). It's not extremely politically correct due to the nature of the subject matter.
3, 6.50, 5.50, The joke is a play on stereotypes about Willie Nelson concerts, but it's relatively mild. It might be funny to some, but it doesn't have a broad appeal. Moderately politically correct.
4, 6.00, 6.50, This joke involves a mild play on words about the difference between a man and a toilet. While not highly offensive, it might be seen as crude. Moderately politically correct.
5, 5.00, 7.00, The joke relies on wordplay with O. J. Simpson's name. It's not highly funny, but it's moderately politically correct as it doesn't target any specific group.
6, 8.00, 7.50, The joke involves a play on Bill and Hillary's relationship and career paths. It's humorous and moderately politically correct, as it doesn't offend any specific group.
7, -9.00, -10.00, This joke deliberately defies expectations and might be offensive to some, particularly those who appreciate feminist perspectives. Not funny and politically incorrect.
8, 7.00, 6.00, The joke involves a play on words with dyslexia and devil worship. It's mildly funny and moderately politically correct, as it doesn't target a specific group.
9, 7.50, 6.50, The joke involves a clever workaround to a dress code. It's amusing and moderately politically correct, as it doesn't offend any specific group.
10, 7.00, 7.00, The joke involves classic wordplay with cannibals and a clown. It's moderately funny and politically correct, as it doesn't target any specific group.
11, 8.00, 7.00, The joke involves a play on common stereotypes. It's humorous and moderately politically correct, as it doesn't offend any specific group.
12, 8.50, 8.00, The joke involves a clever play on words about golf. It's funny and moderately politically correct, as it doesn't target any specific group.
13, 7.00, 7.50, The joke involves a play on words about elections. It's mildly funny and moderately politically correct, as it doesn't offend any specific group.
14, 7.50, 6.00, The joke involves a misunderstanding about the word 'screw.' It's amusing and moderately politically correct, as it doesn't target any specific group.
15, 6.00, 8.50, The joke involves a play on words about matzah. It's mildly funny and highly politically correct, as it doesn't target any specific group and plays on the common trope of questioning traditional food.
16, 7.00, 8.00, The joke involves a simple play on words with the similarity between "parrot" and "carrot." It's moderately funny and highly politically correct, as it doesn't target any specific group and relies on a harmless pun.
17, 4.50, -6.00, The humor in this joke relies on a stereotype about men. It's not highly funny, and it can be considered politically incorrect as it makes a generalization about men.
18, 8.00, 7.50, The joke involves a clever play on words with the dog's telegram. It's funny and moderately politically correct, as it doesn't target any specific group.
19, 7.50, 6.00, The joke plays on stereotypes about Americans and their language skills. It's amusing and moderately politically correct, as it doesn't target any specific group harshly.
20, 8.50, 7.00, The joke involves a play on words about MacIntosh computers and Etch-A-Sketch. It's humorous and moderately politically correct, as it doesn't target any specific group.
21, 9.00, 5.00, The joke involves a play on words with the brand Goodyear. It's funny, but it might be considered politically incorrect as it involves a sexual innuendo.
22, 7.50, 8.00, The joke involves a play on words with the duck and the pharmacist. It's amusing and highly politically correct, as it relies on a harmless pun.
23, 6.00, 7.50, The joke involves a play on words with the Australian word for a boomerang. It's moderately funny and moderately politically correct, as it doesn't target any specific group.
24, 7.00, 8.00, The joke involves a play on words with a parakeet and a lawnmower. It's mildly funny and highly politically correct, as it relies on a harmless pun.
25, 6.00, 7.50, The joke involves a play on words with the misunderstanding of a kindergarten girl. It's moderately funny and moderately politically correct, as it doesn't target any specific group.
26, 8.50, 7.50, The joke involves a play on words about getting into pants. It's humorous and moderately politically correct, as it doesn't target any specific group harshly.
27, 8.00, 7.00, The joke involves a play on words about Clinton's gift. It's funny and moderately politically correct, as it doesn't target any specific group harshly.
